time,altitude,latitude,longitude,Vitesse
1,119853,"-0,037","119,119",7844
2,119704,"-0,051","119,051",7844
3,119555,"-0,065","118,983",7844
4,119404,"-0,079","118,916",7844
5,119253,"-0,094","118,848",7844
6,119100,"-0,108","118,78",7845
7,118946,"-0,122","118,712",7845
8,118791,"-0,136","118,645",7845
9,118636,"-0,15","118,577",7845
10,118479,"-0,164","118,509",7845
11,118321,"-0,178","118,442",7845
12,118161,"-0,193","118,374",7846
13,118001,"-0,207","118,306",7846
14,117840,"-0,221","118,238",7846
15,117678,"-0,235","118,171",7846
16,117514,"-0,249","118,103",7846
17,117350,"-0,263","118,035",7846
18,117184,"-0,278","117,967",7847
19,117018,"-0,292","117,9",7847
20,116850,"-0,306","117,832",7847
21,116681,"-0,32","117,764",7847
22,116511,"-0,334","117,696",7847
23,116341,"-0,348","117,629",7847
24,116169,"-0,363","117,561",7848
25,115996,"-0,377","117,493",7848
26,115822,"-0,391","117,425",7848
27,115646,"-0,405","117,357",7848
28,115470,"-0,419","117,29",7848
29,115293,"-0,433","117,222",7849
30,115114,"-0,448","117,154",7849
31,114935,"-0,462","117,086",7849
32,114755,"-0,476","117,018",7849
33,114573,"-0,49","116,951",7849
34,114390,"-0,504","116,883",7849
35,114207,"-0,518","116,815",7850
36,114022,"-0,533","116,747",7850
37,113836,"-0,547","116,679",7850
38,113649,"-0,561","116,612",7850
39,113461,"-0,575","116,544",7850
40,113272,"-0,589","116,476",7850
41,113082,"-0,603","116,408",7851
42,112891,"-0,618","116,34",7851
43,112698,"-0,632","116,272",7851
44,112505,"-0,646","116,205",7851
45,112311,"-0,66","116,137",7851
46,112115,"-0,674","116,069",7852
47,111919,"-0,688","116,001",7852
48,111721,"-0,703","115,933",7852
49,111523,"-0,717","115,865",7852
50,111323,"-0,731","115,797",7852
51,111122,"-0,745","115,73",7852
52,110920,"-0,759","115,662",7853
53,110717,"-0,773","115,594",7853
54,110513,"-0,788","115,526",7853
55,110308,"-0,802","115,458",7853
56,110102,"-0,816","115,39",7853
57,109895,"-0,83","115,322",7853
58,109687,"-0,844","115,254",7854
59,109477,"-0,858","115,186",7854
60,109267,"-0,873","115,119",7854
61,109055,"-0,887","115,051",7854
62,108843,"-0,901","114,983",7854
63,108629,"-0,915","114,915",7854
64,108415,"-0,929","114,847",7855
65,108199,"-0,943","114,779",7855
66,107982,"-0,958","114,711",7855
67,107764,"-0,972","114,643",7855
68,107545,"-0,986","114,575",7855
69,107325,-1,"114,507",7855
70,107104,"-1,014","114,439",7855
71,106882,"-1,028","114,371",7855
72,106659,"-1,043","114,303",7856
73,106435,"-1,057","114,236",7856
74,106209,"-1,071","114,168",7856
75,105983,"-1,085","114,1",7856
76,105756,"-1,099","114,032",7856
77,105527,"-1,113","113,964",7856
78,105298,"-1,128","113,896",7856
79,105067,"-1,142","113,828",7856
80,104835,"-1,156","113,76",7856
81,104603,"-1,17","113,692",7857
82,104369,"-1,184","113,624",7857
83,104134,"-1,198","113,556",7857
84,103898,"-1,212","113,488",7857
85,103661,"-1,227","113,42",7857
86,103423,"-1,241","113,352",7857
87,103184,"-1,255","113,284",7857
88,102943,"-1,269","113,216",7857
89,102702,"-1,283","113,148",7857
90,102460,"-1,297","113,08",7857
91,102216,"-1,312","113,012",7857
92,101972,"-1,326","112,944",7857
93,101726,"-1,34","112,876",7857
94,101480,"-1,354","112,808",7857
95,101232,"-1,368","112,74",7857
96,100983,"-1,382","112,672",7857
97,100733,"-1,396","112,604",7857
98,100483,"-1,411","112,536",7857
99,100231,"-1,425","112,468",7857
100,99978,"-1,439","112,4",7857
101,99724,"-1,453","112,331",7857
102,99468,"-1,467","112,263",7857
103,99212,"-1,481","112,195",7857
104,98955,"-1,495","112,127",7857
105,98697,"-1,509","112,059",7857
106,98437,"-1,524","111,991",7857
107,98177,"-1,538","111,923",7856
108,97915,"-1,552","111,855",7856
109,97653,"-1,566","111,787",7856
110,97389,"-1,58","111,719",7856
111,97124,"-1,594","111,651",7856
112,96858,"-1,608","111,583",7856
113,96592,"-1,622","111,515",7855
114,96324,"-1,637","111,447",7855
115,96055,"-1,651","111,379",7855
116,95784,"-1,665","111,311",7855
117,95513,"-1,679","111,242",7854
118,95241,"-1,693","111,174",7854
119,94968,"-1,707","111,106",7854
120,94693,"-1,721","111,038",7853
121,94418,"-1,735","110,97",7853
122,94141,"-1,749","110,902",7853
123,93864,"-1,763","110,834",7852
124,93585,"-1,778","110,766",7852
125,93305,"-1,792","110,698",7851
126,93025,"-1,806","110,63",7851
127,92743,"-1,82","110,562",7850
128,92460,"-1,834","110,494",7849
129,92176,"-1,848","110,426",7849
130,91891,"-1,862","110,358",7848
131,91604,"-1,876","110,289",7847
132,91317,"-1,89","110,221",7847
133,91029,"-1,904","110,153",7846
134,90740,"-1,918","110,085",7845
135,90449,"-1,932","110,017",7844
136,90157,"-1,946","109,949",7843
137,89865,"-1,96","109,881",7842
138,89571,"-1,975","109,813",7841
139,89276,"-1,989","109,745",7840
140,88980,"-2,003","109,677",7838
141,88684,"-2,017","109,609",7837
142,88386,"-2,031","109,541",7836
143,88086,"-2,045","109,473",7834
144,87786,"-2,059","109,405",7833
145,87485,"-2,073","109,337",7831
146,87183,"-2,087","109,269",7829
147,86879,"-2,101","109,201",7827
148,86575,"-2,115","109,133",7825
149,86269,"-2,129","109,065",7823
150,85963,"-2,143","108,997",7820
151,85655,"-2,157","108,929",7818
152,85346,"-2,171","108,862",7815
153,85036,"-2,185","108,794",7812
154,84725,"-2,199","108,726",7809
155,84413,"-2,213","108,658",7805
156,84100,"-2,227","108,59",7801
157,83786,"-2,24","108,523",7797
158,83471,"-2,254","108,455",7792
159,83155,"-2,268","108,387",7787
160,82838,"-2,282","108,32",7781
161,82519,"-2,296","108,252",7777
162,82200,"-2,31","108,184",7772
163,81880,"-2,324","108,117",7767
164,81558,"-2,338","108,049",7764
165,81235,"-2,352","107,982",7761
166,80911,"-2,365","107,915",7757
167,80586,"-2,379","107,847",7754
168,80260,"-2,393","107,78",7750
169,79933,"-2,407","107,712",7746
170,79604,"-2,421","107,645",7741
171,79274,"-2,435","107,578",7737
172,78943,"-2,448","107,511",7732
173,78611,"-2,462","107,443",7727
174,78278,"-2,476","107,376",7722
175,77943,"-2,49","107,309",7716
176,77608,"-2,503","107,242",7710
177,77271,"-2,517","107,175",7704
178,76933,"-2,531","107,108",7697
179,76594,"-2,544","107,041",7690
180,76253,"-2,558","106,974",7683
181,75912,"-2,572","106,907",7675
182,75569,"-2,585","106,841",7667
183,75225,"-2,599","106,774",7658
184,74881,"-2,613","106,707",7649
185,74534,"-2,626","106,641",7640
186,74187,"-2,64","106,574",7630
187,73839,"-2,653","106,508",7619
188,73489,"-2,667","106,442",7608
189,73139,"-2,681","106,376",7596
190,72787,"-2,694","106,31",7584
191,72434,"-2,707","106,244",7570
192,72080,"-2,721","106,178",7554
193,71725,"-2,734","106,112",7537
194,71369,"-2,748","106,047",7517
195,71012,"-2,761","105,981",7494
196,70655,"-2,774","105,916",7468
197,70296,"-2,788","105,851",7438
198,69938,"-2,801","105,787",7404
199,69579,"-2,814","105,722",7362
200,69220,"-2,827","105,658",7313
201,68861,"-2,84","105,595",7251
202,68504,"-2,853","105,532",7173
203,68148,"-2,865","105,47",7069
204,67796,"-2,878","105,409",6919
205,67445,"-2,89","105,349",6881
206,67094,"-2,902","105,289",6843
207,66741,"-2,914","105,23",6803
208,66387,"-2,926","105,171",6762
209,66031,"-2,938","105,112",6719
