time,altitude,latitude,longitude,Vitesse(km/s)
1,119849,"-73,538","55,993","7,856"
2,119698,"-73,605","55,926","7,857"
3,119547,"-73,671","55,859","7,857"
4,119395,"-73,737","55,791","7,857"
5,119244,"-73,804","55,723","7,857"
6,119093,"-73,87","55,654","7,857"
7,118941,"-73,937","55,585","7,857"
8,118790,"-74,003","55,515","7,857"
9,118638,"-74,069","55,445","7,858"
10,118486,"-74,136","55,374","7,858"
11,118334,"-74,202","55,303","7,858"
12,118182,"-74,268","55,231","7,858"
13,118030,"-74,335","55,158","7,858"
14,117878,"-74,401","55,085","7,858"
15,117726,"-74,467","55,012","7,859"
16,117574,"-74,533","54,937","7,859"
17,117421,"-74,599","54,863","7,859"
18,117269,"-74,666","54,787","7,859"
19,117116,"-74,732","54,711","7,859"
20,116964,"-74,798","54,634","7,859"
21,116811,"-74,864","54,557","7,86"
22,116658,"-74,93","54,479","7,86"
23,116505,"-74,996","54,401","7,86"
24,116352,"-75,062","54,322","7,86"
25,116199,"-75,128","54,242","7,86"
26,116046,"-75,194","54,161","7,86"
27,115893,"-75,26","54,08","7,86"
28,115740,"-75,326","53,998","7,861"
29,115587,"-75,392","53,916","7,861"
30,115433,"-75,458","53,833","7,861"
31,115280,"-75,524","53,749","7,861"
32,115126,"-75,59","53,664","7,861"
33,114972,"-75,656","53,579","7,861"
34,114819,"-75,721","53,493","7,861"
35,114665,"-75,787","53,406","7,862"
36,114511,"-75,853","53,318","7,862"
37,114357,"-75,919","53,23","7,862"
38,114203,"-75,984","53,141","7,862"
39,114048,"-76,05","53,051","7,862"
40,113894,"-76,116","52,96","7,862"
41,113740,"-76,181","52,868","7,862"
42,113585,"-76,247","52,776","7,863"
43,113431,"-76,313","52,683","7,863"
44,113276,"-76,378","52,589","7,863"
45,113122,"-76,444","52,494","7,863"
46,112967,"-76,509","52,398","7,863"
47,112812,"-76,575","52,301","7,863"
48,112657,"-76,64","52,204","7,863"
49,112502,"-76,705","52,105","7,864"
50,112347,"-76,771","52,006","7,864"
51,112192,"-76,836","51,906","7,864"
52,112037,"-76,901","51,805","7,864"
53,111881,"-76,967","51,702","7,864"
54,111726,"-77,032","51,599","7,864"
55,111571,"-77,097","51,495","7,864"
56,111415,"-77,162","51,39","7,864"
57,111259,"-77,227","51,284","7,865"
58,111104,"-77,292","51,176","7,865"
59,110948,"-77,357","51,068","7,865"
60,110792,"-77,422","50,959","7,865"
61,110636,"-77,487","50,849","7,865"
62,110480,"-77,552","50,737","7,865"
63,110324,"-77,617","50,624","7,865"
64,110168,"-77,682","50,511","7,865"
65,110012,"-77,747","50,396","7,865"
66,109855,"-77,811","50,28","7,866"
67,109699,"-77,876","50,163","7,866"
68,109542,"-77,941","50,044","7,866"
69,109386,"-78,005","49,925","7,866"
70,109229,"-78,07","49,804","7,866"
71,109072,"-78,134","49,682","7,866"
72,108915,"-78,199","49,558","7,866"
73,108759,"-78,263","49,434","7,866"
74,108602,"-78,328","49,308","7,866"
75,108445,"-78,392","49,18","7,866"
76,108287,"-78,456","49,052","7,866"
77,108130,"-78,52","48,921","7,866"
78,107973,"-78,585","48,79","7,867"
79,107815,"-78,649","48,657","7,867"
80,107658,"-78,713","48,523","7,867"
81,107500,"-78,777","48,387","7,867"
82,107343,"-78,841","48,25","7,867"
83,107185,"-78,905","48,111","7,867"
84,107027,"-78,968","47,97","7,867"
85,106870,"-79,032","47,829","7,867"
86,106712,"-79,096","47,685","7,867"
87,106554,"-79,16","47,54","7,867"
88,106395,"-79,223","47,393","7,867"
89,106237,"-79,287","47,245","7,867"
90,106079,"-79,35","47,094","7,867"
91,105921,"-79,414","46,943","7,867"
92,105762,"-79,477","46,789","7,867"
93,105604,"-79,54","46,633","7,867"
94,105445,"-79,603","46,476","7,867"
95,105286,"-79,666","46,317","7,867"
96,105128,"-79,729","46,156","7,867"
97,104969,"-79,792","45,993","7,867"
98,104810,"-79,855","45,828","7,867"
99,104651,"-79,918","45,661","7,867"
100,104492,"-79,981","45,492","7,867"
101,104333,"-80,043","45,321","7,867"
102,104173,"-80,106","45,148","7,867"
103,104014,"-80,169","44,973","7,867"
104,103855,"-80,231","44,796","7,867"
105,103695,"-80,293","44,616","7,867"
106,103536,"-80,355","44,434","7,867"
107,103376,"-80,418","44,25","7,867"
108,103216,"-80,48","44,064","7,867"
109,103056,"-80,542","43,875","7,867"
110,102897,"-80,603","43,684","7,867"
111,102737,"-80,665","43,49","7,867"
112,102576,"-80,727","43,294","7,867"
113,102416,"-80,788","43,096","7,867"
114,102256,"-80,85","42,894","7,867"
115,102096,"-80,911","42,69","7,867"
116,101935,"-80,972","42,484","7,867"
117,101775,"-81,033","42,274","7,867"
118,101614,"-81,094","42,062","7,866"
119,101453,"-81,155","41,847","7,866"
120,101293,"-81,216","41,629","7,866"
121,101132,"-81,277","41,408","7,866"
122,100971,"-81,337","41,185","7,866"
123,100810,"-81,398","40,958","7,866"
124,100649,"-81,458","40,728","7,866"
125,100487,"-81,518","40,494","7,866"
126,100326,"-81,578","40,258","7,865"
127,100165,"-81,638","40,018","7,865"
128,100003,"-81,697","39,775","7,865"
129,99842,"-81,757","39,528","7,865"
130,99680,"-81,816","39,278","7,865"
131,99518,"-81,876","39,025","7,865"
132,99356,"-81,935","38,767","7,864"
133,99194,"-81,994","38,506","7,864"
134,99032,"-82,053","38,242","7,864"
135,98870,"-82,111","37,973","7,864"
136,98708,"-82,17","37,7","7,864"
137,98546,"-82,228","37,424","7,863"
138,98383,"-82,286","37,143","7,863"
139,98221,"-82,344","36,858","7,863"
140,98058,"-82,402","36,569","7,863"
141,97895,"-82,459","36,276","7,862"
142,97733,"-82,517","35,978","7,862"
143,97570,"-82,574","35,676","7,862"
144,97407,"-82,631","35,369","7,862"
145,97243,"-82,688","35,057","7,861"
146,97080,"-82,744","34,741","7,861"
147,96917,"-82,8","34,42","7,861"
148,96753,"-82,857","34,094","7,86"
149,96590,"-82,912","33,763","7,86"
150,96426,"-82,968","33,426","7,86"
151,96262,"-83,023","33,085","7,859"
152,96099,"-83,079","32,738","7,859"
153,95935,"-83,133","32,385","7,858"
154,95771,"-83,188","32,027","7,858"
155,95606,"-83,243","31,664","7,858"
156,95442,"-83,297","31,294","7,857"
157,95278,"-83,35","30,919","7,857"
158,95113,"-83,404","30,538","7,856"
159,94948,"-83,457","30,15","7,856"
160,94784,"-83,51","29,757","7,855"
161,94619,"-83,563","29,357","7,855"
162,94454,"-83,615","28,95","7,854"
163,94289,"-83,667","28,537","7,854"
164,94123,"-83,719","28,117","7,853"
165,93958,"-83,77","27,691","7,853"
166,93793,"-83,821","27,257","7,852"
167,93627,"-83,872","26,816","7,851"
168,93461,"-83,922","26,369","7,851"
169,93295,"-83,972","25,913","7,85"
170,93130,"-84,022","25,451","7,85"
171,92963,"-84,071","24,981","7,849"
172,92797,"-84,12","24,503","7,848"
173,92631,"-84,168","24,017","7,847"
174,92464,"-84,216","23,523","7,847"
175,92298,"-84,264","23,022","7,846"
176,92131,"-84,311","22,512","7,845"
177,91964,"-84,357","21,993","7,844"
178,91797,"-84,404","21,467","7,843"
179,91630,"-84,449","20,931","7,843"
180,91462,"-84,495","20,387","7,842"
181,91295,"-84,539","19,834","7,841"
182,91127,"-84,583","19,273","7,84"
183,90959,"-84,627","18,702","7,839"
184,90791,"-84,67","18,122","7,838"
185,90623,"-84,713","17,533","7,837"
186,90455,"-84,755","16,934","7,836"
187,90287,"-84,796","16,326","7,835"
188,90118,"-84,837","15,709","7,833"
189,89949,"-84,877","15,082","7,832"
190,89781,"-84,917","14,445","7,831"
191,89612,"-84,956","13,798","7,83"
192,89442,"-84,994","13,142","7,828"
193,89273,"-85,032","12,476","7,827"
194,89103,"-85,069","11,8","7,825"
195,88934,"-85,106","11,114","7,824"
196,88764,"-85,141","10,418","7,822"
197,88594,"-85,176","9,712","7,82"
198,88423,"-85,21","8,996","7,818"
199,88253,"-85,244","8,27","7,816"
200,88082,"-85,276","7,535","7,814"
201,87911,"-85,308","6,789","7,812"
202,87740,"-85,339","6,034","7,809"
203,87569,"-85,369","5,269","7,807"
204,87398,"-85,399","4,494","7,804"
205,87226,"-85,427","3,71","7,802"
206,87054,"-85,455","2,916","7,8"
207,86882,"-85,482","2,114","7,798"
208,86710,"-85,508","1,301","7,796"
209,86537,"-85,533","0,48","7,793"
210,86365,"-85,557","-0,349","7,792"
211,86192,"-85,58","-1,188","7,79"
212,86018,"-85,602","-2,035","7,789"
213,85845,"-85,624","-2,89","7,787"
214,85671,"-85,644","-3,753","7,786"
215,85497,"-85,663","-4,624","7,784"
216,85322,"-85,682","-5,502","7,782"
217,85148,"-85,699","-6,388","7,78"
218,84973,"-85,715","-7,28","7,778"
219,84798,"-85,73","-8,178","7,777"
220,84622,"-85,745","-9,082","7,775"
221,84446,"-85,758","-9,992","7,773"
222,84270,"-85,77","-10,907","7,77"
223,84094,"-85,781","-11,827","7,768"
224,83917,"-85,791","-12,751","7,766"
225,83740,"-85,8","-13,679","7,764"
226,83563,"-85,807","-14,61","7,761"
227,83385,"-85,814","-15,544","7,759"
228,83207,"-85,82","-16,481","7,757"
229,83029,"-85,824","-17,419","7,754"
230,82850,"-85,827","-18,359","7,751"
231,82672,"-85,829","-19,3","7,749"
232,82492,"-85,831","-20,242","7,746"
233,82313,"-85,831","-21,183","7,743"
234,82133,"-85,829","-22,124","7,74"
235,81952,"-85,827","-23,063","7,737"
236,81772,"-85,824","-24,001","7,734"
237,81591,"-85,819","-24,937","7,731"
238,81409,"-85,814","-25,87","7,727"
239,81228,"-85,807","-26,801","7,724"
240,81045,"-85,799","-27,727","7,72"
241,80863,"-85,791","-28,65","7,717"
242,80680,"-85,781","-29,568","7,713"
243,80497,"-85,77","-30,481","7,709"
244,80313,"-85,758","-31,389","7,705"
245,80129,"-85,745","-32,292","7,701"
246,79944,"-85,731","-33,188","7,697"
247,79759,"-85,716","-34,077","7,692"
248,79574,"-85,7","-34,96","7,688"
249,79388,"-85,683","-35,835","7,683"
250,79202,"-85,665","-36,703","7,678"
251,79015,"-85,646","-37,563","7,673"
252,78828,"-85,626","-38,415","7,668"
253,78640,"-85,605","-39,258","7,662"
254,78452,"-85,583","-40,093","7,655"
255,78263,"-85,56","-40,919","7,648"
256,78074,"-85,537","-41,735","7,641"
257,77885,"-85,512","-42,542","7,633"
258,77695,"-85,487","-43,339","7,624"
259,77504,"-85,461","-44,126","7,614"
260,77313,"-85,434","-44,904","7,604"
261,77122,"-85,407","-45,671","7,592"
262,76930,"-85,378","-46,427","7,579"
263,76737,"-85,349","-47,173","7,565"
264,76545,"-85,319","-47,909","7,549"
265,76351,"-85,289","-48,633","7,531"
266,76158,"-85,258","-49,346","7,511"
267,75964,"-85,226","-50,048","7,487"
268,75769,"-85,193","-50,738","7,459"
269,75574,"-85,16","-51,416","7,426"
270,75379,"-85,127","-52,082","7,385"
271,75184,"-85,093","-52,734","7,333"
272,74990,"-85,059","-53,373","7,262"
273,74795,"-85,025","-53,999","7,248"
274,74598,"-84,989","-54,615","7,233"
275,74401,"-84,954","-55,221","7,218"
276,74202,"-84,918","-55,817","7,202"
277,74002,"-84,881","-56,404","7,186"
278,73801,"-84,845","-56,982","7,17"
279,73599,"-84,807","-57,55","7,153"
280,73395,"-84,77","-58,108","7,136"
281,73190,"-84,731","-58,657","7,118"
282,72984,"-84,693","-59,197","7,1"
283,72776,"-84,654","-59,728","7,081"
284,72567,"-84,615","-60,25","7,062"
285,72356,"-84,575","-60,763","7,042"
286,72144,"-84,536","-61,267","7,022"
287,71931,"-84,496","-61,763","7,001"
288,71716,"-84,455","-62,25","6,98"
289,71500,"-84,415","-62,728","6,958"
290,71282,"-84,374","-63,199","6,936"
291,71062,"-84,333","-63,661","6,913"
292,70841,"-84,291","-64,115","6,89"
293,70619,"-84,25","-64,561","6,865"
294,70395,"-84,208","-64,999","6,841"
295,70169,"-84,166","-65,429","6,816"
296,69941,"-84,124","-65,852","6,79"
297,69712,"-84,082","-66,267","6,763"
298,69481,"-84,04","-66,674","6,736"
299,69249,"-83,997","-67,075","6,708"
300,69014,"-83,955","-67,468","6,68"
301,68778,"-83,912","-67,854","6,651"
302,68540,"-83,869","-68,233","6,621"
303,68301,"-83,827","-68,606","6,59"
304,68059,"-83,784","-68,971","6,559"
305,67816,"-83,741","-69,33","6,527"
306,67570,"-83,698","-69,682","6,494"
307,67323,"-83,655","-70,028","6,46"
308,67074,"-83,612","-70,368","6,426"
309,66823,"-83,57","-70,701","6,391"
310,66570,"-83,527","-71,028","6,355"
311,66315,"-83,484","-71,349","6,318"
312,66058,"-83,441","-71,664","6,28"
313,65799,"-83,399","-71,974","6,242"
314,65537,"-83,356","-72,277","6,202"
315,65274,"-83,314","-72,575","6,162"
316,65009,"-83,271","-72,867","6,121"
317,64742,"-83,229","-73,154","6,079"
318,64472,"-83,187","-73,435","6,036"
319,64201,"-83,145","-73,711","5,992"
320,63927,"-83,103","-73,981","5,947"
321,63651,"-83,062","-74,246","5,902"
322,63373,"-83,02","-74,507","5,855"
323,63093,"-82,979","-74,762","5,808"
324,62811,"-82,938","-75,012","5,759"
