number,norad_id
102,41920
103,41918
104,41922
105,41921
106,41917
108,41924
109,41919
111,41926
112,41925
114,41923
113,42803
115,42806
117,42808
118,42807
120,42805
121,42812
123,42804
124,42810
126,42809
128,42811
100,42956
107,42960
119,42959
122,42957
125,42964
129,42958
132,42961
133,42955
136,42962
139,42963
116,43072
130,43073
131,43079
134,43075
135,43070
137,43076
138,43071
141,43077
151,43074
153,43078
140,43252
142,43256
143,43258
144,43249
145,43253
146,43254
148,43255
149,43250
150,43257
157,43251
110,43481
147,43480
152,43479
161,43478
162,43482
154,43574
155,43573
156,43576
158,43571
159,43578
160,43569
163,43575
164,43577
165,43572
166,43570
167,43931
168,43924
169,43926
170,43930
171,43929
172,43927
173,43925
175,43928
176,43923
180,43922
